Run ID,Generation,Architecture,Layers,Fold Accuracies,Validation Accuracy,Model Size,Training Time (s)
1,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 2, 'dropout_rate': 0.2610634517269776, 'bidirectional': True, 'attention': True, 'learning_rate': 0.0001, 'batch_size': 64, 'weight_decay': 1e-05}","[0.5454545454545454, 0.47619047619047616, 0.42857142857142855, 0.42857142857142855, 0.5714285714285714]",0.49004329004329,760706.0,2.619132900238037
1,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 2, 'dropout_rate': 0.1949904550912504, 'bidirectional': True, 'attention': True, 'learning_rate': 2.0762182326925288e-05, 'batch_size': 64, 'weight_decay': 5e-05}","[0.6818181818181818, 0.38095238095238093, 0.9047619047619048, 0.47619047619047616, 0.42857142857142855]",0.5744588744588743,760706.0,3.5421382427215575
1,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 358, 'num_layers': 1, 'dropout_rate': 0.3126070026396248, 'bidirectional': True, 'attention': True, 'learning_rate': 0.00024082246852806917, 'batch_size': 64, 'weight_decay': 5e-05}","[0.7272727272727273, 0.5238095238095238, 0.9047619047619048, 0.9047619047619048, 0.7142857142857143]",0.754978354978355,4857346.0,2.4604892253875734
1,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 128, 'num_layers': 4, 'dropout_rate': 0.2533870835654749, 'bidirectional': True, 'attention': True, 'learning_rate': 0.0003, 'batch_size': 64, 'weight_decay': 1e-05}","[0.7272727272727273, 0.38095238095238093, 0.3333333333333333, 0.23809523809523808, 0.6666666666666666]",0.4692640692640692,2598658.0,3.170026731491089
1,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 128, 'num_layers': 2, 'dropout_rate': 0.38796459609738, 'bidirectional': True, 'attention': True, 'learning_rate': 0.0001, 'batch_size': 32, 'weight_decay': 5e-05}","[0.8181818181818182, 0.6666666666666666, 0.5714285714285714, 0.6666666666666666, 0.5238095238095238]",0.6493506493506493,1808130.0,5.430664873123169
1,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 3, 'dropout_rate': 0.3205361630160205, 'bidirectional': True, 'attention': True, 'learning_rate': 0.00012457309396155178, 'batch_size': 32, 'weight_decay': 5e-05}","[0.45454545454545453, 0.6190476190476191, 0.6190476190476191, 0.5714285714285714, 0.5714285714285714]",0.5670995670995671,860034.0,3.7709743976593018
1,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 2, 'dropout_rate': 0.3135100860289415, 'bidirectional': True, 'attention': True, 'learning_rate': 8.705505632961248e-05, 'batch_size': 64, 'weight_decay': 0}","[0.6363636363636364, 0.38095238095238093, 0.7619047619047619, 0.6190476190476191, 0.6666666666666666]",0.612987012987013,760706.0,2.4096140384674074
1,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 3, 'dropout_rate': 0.21787189157935366, 'bidirectional': True, 'attention': True, 'learning_rate': 0.0001, 'batch_size': 32, 'weight_decay': 0}","[0.5454545454545454, 0.6666666666666666, 0.5238095238095238, 0.9047619047619048, 0.5714285714285714]",0.6424242424242423,860034.0,5.853815126419067
1,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 256, 'num_layers': 2, 'dropout_rate': 0.37201147305074056, 'bidirectional': True, 'attention': True, 'learning_rate': 0.00024082246852806917, 'batch_size': 32, 'weight_decay': 0}","[0.7727272727272727, 0.5238095238095238, 0.5238095238095238, 0.6666666666666666, 0.7142857142857143]",0.6402597402597403,4763138.0,3.232931137084961
1,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 2, 'dropout_rate': 0.19558951882828085, 'bidirectional': True, 'attention': True, 'learning_rate': 0.0001, 'batch_size': 32, 'weight_decay': 1e-05}","[0.9090909090909091, 0.6190476190476191, 0.5714285714285714, 0.6666666666666666, 0.7142857142857143]",0.6961038961038961,760706.0,4.518771409988403
1,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 128, 'num_layers': 1, 'dropout_rate': 0.3600629442315506, 'bidirectional': True, 'attention': True, 'learning_rate': 0.0007224674055842078, 'batch_size': 64, 'weight_decay': 0}","[0.8181818181818182, 0.47619047619047616, 0.9047619047619048, 0.7142857142857143, 0.5238095238095238]",0.6874458874458875,1412866.0,2.827553558349609
1,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 4, 'dropout_rate': 0.216372913267254, 'bidirectional': False, 'attention': True, 'learning_rate': 8.705505632961248e-05, 'batch_size': 64, 'weight_decay': 0}","[0.45454545454545453, 0.6190476190476191, 0.3333333333333333, 0.23809523809523808, 0.38095238095238093]",0.4051948051948052,959362.0,2.0206621170043944
