Rank,Run ID,Generation,Architecture,Layers,Fold Accuracies,Validation Accuracy,Model Size,Training Time (s)
1,9,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 1, 'dropout_rate': 0.30462650327334456, 'bidirectional': True, 'attention': True, 'learning_rate': 4.479519381549659e-06, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.5017957542835532, 'accuracy': 0.677056277056277}","[0.9090909090909091, 0.7619047619047619, 0.9047619047619048, 0.9047619047619048, 0.7619047619047619]",0.8484848484848484,665794.0,3.384803867340088
2,1,5,LSTM,"{'model_type': 'LSTM', 'hidden_units': 380, 'num_layers': 1, 'dropout_rate': 0.1, 'bidirectional': False, 'attention': True, 'learning_rate': 0.0001963677485517951, 'batch_size': 32, 'weight_decay': 0, 'fitness': 0.6020237369385095, 'accuracy': 0.7627705627705628}","[0.9090909090909091, 0.7142857142857143, 0.9523809523809523, 0.9047619047619048, 0.6666666666666666]",0.8294372294372294,5247802.0,2.6004278659820557
3,2,5,LSTM,"{'model_type': 'LSTM', 'hidden_units': 288, 'num_layers': 1, 'dropout_rate': 0.40504594642311187, 'bidirectional': True, 'attention': True, 'learning_rate': 0.0007392151795020074, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.5748129988902875, 'accuracy': 0.7437229437229437}","[0.9090909090909091, 0.6666666666666666, 0.9523809523809523, 0.9047619047619048, 0.7142857142857143]",0.8294372294372293,3686978.0,3.0317146301269533
4,9,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 128, 'num_layers': 1, 'dropout_rate': 0.42301782996837856, 'bidirectional': True, 'attention': True, 'learning_rate': 2.126176463518757e-05, 'batch_size': 64, 'weight_decay': 0, 'fitness': 0.6183504135678999, 'accuracy': 0.7627705627705627}","[0.9090909090909091, 0.7142857142857143, 0.9523809523809523, 0.9047619047619048, 0.6190476190476191]",0.8199134199134199,1429890.0,3.0350899696350098
5,9,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 512, 'num_layers': 1, 'dropout_rate': 0.5, 'bidirectional': True, 'attention': True, 'learning_rate': 1.3449492197457744e-05, 'batch_size': 32, 'weight_decay': 0, 'fitness': 0.40882660436661517, 'accuracy': 0.6103896103896103}","[0.9090909090909091, 0.6190476190476191, 0.9047619047619048, 0.9047619047619048, 0.7619047619047619]",0.8199134199134199,8078850.0,3.6136539459228514
6,3,1,LSTM,"{'model_type': 'LSTM', 'hidden_units': 512, 'num_layers': 1, 'dropout_rate': 0.5, 'bidirectional': False, 'attention': True, 'learning_rate': 2.0762182326925288e-05, 'batch_size': 32, 'weight_decay': 1e-05}","[0.9090909090909091, 0.6666666666666666, 0.9523809523809523, 0.9047619047619048, 0.6666666666666666]",0.8199134199134198,7816194.0,2.7730369091033937
7,3,5,LSTM,"{'model_type': 'LSTM', 'hidden_units': 512, 'num_layers': 1, 'dropout_rate': 0.386393291944508, 'bidirectional': False, 'attention': True, 'learning_rate': 3.6871297568923193e-06, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.6799146310138611, 'accuracy': 0.8112554112554113}","[0.8181818181818182, 0.6190476190476191, 0.9523809523809523, 0.9523809523809523, 0.7142857142857143]",0.8112554112554113,7816194.0,3.612379264831543
8,3,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 512, 'num_layers': 2, 'dropout_rate': 0.32641679633205195, 'bidirectional': False, 'attention': True, 'learning_rate': 0.0009013426488045526, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.596581429912357, 'accuracy': 0.7627705627705628}","[0.8181818181818182, 0.5238095238095238, 0.9047619047619048, 0.9047619047619048, 0.9047619047619048]",0.8112554112554113,14115842.0,5.726077508926392
9,1,4,LSTM,"{'model_type': 'LSTM', 'hidden_units': 64, 'num_layers': 1, 'dropout_rate': 0.5, 'bidirectional': False, 'attention': True, 'learning_rate': 1.830660283281187e-05, 'batch_size': 32, 'weight_decay': 5e-05, 'fitness': 0.4439954791213972, 'accuracy': 0.6506493506493507}","[0.9090909090909091, 0.7142857142857143, 0.9523809523809523, 0.6666666666666666, 0.8095238095238095]",0.8103896103896103,661378.0,3.528434228897095
10,3,3,LSTM,"{'model_type': 'LSTM', 'hidden_units': 512, 'num_layers': 1, 'dropout_rate': 0.145481589519931, 'bidirectional': False, 'attention': True, 'learning_rate': 5.9810935314472806e-06, 'batch_size': 32, 'weight_decay': 1e-05, 'fitness': 0.5304247755334868, 'accuracy': 0.7082251082251082}","[0.7727272727272727, 0.7142857142857143, 0.9047619047619048, 0.9047619047619048, 0.7142857142857143]",0.8021645021645021,7816194.0,3.563344240188598
